source_name,sport,layer,cadence,trust_level,canonical_destination,notes
MySPariEdge MLB projections,MLB,raw/daily signal,daily during MLB season,high for observed source; unproven as edge,data/raw/myspariedge/YYYY-MM-DD/ and data/processed/myspariedge_mlb_signals_YYYY-MM-DD.csv,Active alert source; RL Meta is production alert lane
Pikkit transaction export,All,raw/results,manual export,high for Dave's historical wagers,transactions.csv,ROI and settlement evidence source
MySPariEdge analysis reports,MLB,report,as generated,derived evidence,reports/myspariedge_*.md and reports/myspariedge_*.csv,Use as evidence summaries; raw/processed files remain source
MLB player prop performance reports,MLB,report,as generated,derived evidence,reports/mlb_player_prop_performance.md,Settled prop review from transactions.csv
MLB home run performance reports,MLB,report,as generated,derived evidence,reports/mlb_home_run_prop_performance.md,Settled HR review from transactions.csv
Jeremias NBA box-score metric workbook,NBA,raw/static research,manual refresh,high for source workbook; experimental for betting,data/raw/nba/jeremias-nba-metric.xlsx,Player impact prior source only
NBA player impact features,NBA,processed feature,on script run,derived experimental,data/processed/nba/player_impact_features.csv,Canonical NBA player-prior output
NBA starter impact CSV,NBA,processed reference,manual import,derived reference,data/processed/nba/player-impact-starter.csv,Starter/reference output; not canonical after builder exists
Betting-bot runtime settings,All,runtime config,on app change,high,/Users/davebettner/Documents/Code/betting-bot/settings.yaml,Runtime unit/risk/book policy
Betting-bot signal contract,All,runtime schema,on app change,high,/Users/davebettner/Documents/Code/betting-bot/signals/base.py,Pick and Order contract for runtime integration
Closing line snapshots,All,validation,future scheduled capture,required but incomplete,betting-bot SQLite / future catalog entry,Primary CLV validation source when available
NFL roadmap feature sources,NFL,roadmap feature,not started,not yet sourced,MODEL_LEDGER.md,EPA/DVOA-style efficiency; QB availability; injuries; weather; key numbers; market regression
NHL roadmap feature sources,NHL,roadmap feature,not started,not yet sourced,MODEL_LEDGER.md,Goalie confirmation; xG; GSAx; special teams; rest; line movement
Soccer roadmap feature sources,Soccer,roadmap feature,not started,not yet sourced,MODEL_LEDGER.md,xG provider metadata; Poisson/Dixon-Coles pricing; 1X2; totals; BTTS; Asian handicap
