sportsbook,bets,wins,losses,win_rate,stake,profit,roi,avg_ev
BetMGM,586,270,278,0.4608,7646.35,823.45,0.1077,0.0063
Fanduel Sportsbook,426,179,237,0.4202,6510.65,629.05,0.0966,0.0077
Bet365,55,18,32,0.3273,1046.00,525.46,0.5024,0.0237
ProphetX,235,97,127,0.4128,5368.10,296.99,0.0553,0.0652
theScore Bet,112,60,48,0.5357,1533.59,197.45,0.1288,0.0104
Fanatics,963,428,451,0.4444,13844.36,92.92,0.0067,0.0240
Hard Rock Sportsbook,909,366,473,0.4026,9575.90,90.02,0.0094,-0.0024
Caesars Sportsbook,7,3,2,0.4286,108.24,30.08,0.2779,0.0829
Onyx,131,56,70,0.4275,2621.00,-120.37,-0.0459,-0.0007
Draftkings Sportsbook,1118,492,565,0.4401,17562.61,-1070.64,-0.0610,-0.0044
Novig,2454,1073,1244,0.4372,50420.78,-1536.90,-0.0305,0.0512
